vae,vas,pve,pvs,gee,ges,rqe,rqs,rle,rls,cce
-1.4791759,0.13218938,-0.5599095,0.20011306,-0.3054173,0.21882626,-0.26849365,0.20090456,-0.696949,0.14681087,-1.0224903
1.298433,0.1443307,0.5421175,0.21078306,1.279481,0.24756005,1.4655967,0.23154943,1.4266424,0.16319346,1.6705654
1.0899376,0.22548518,1.6160352,0.2856389,1.8161163,0.4908341,1.3433014,0.515426,1.6882749,0.5265229,1.3114007
0.121845424,0.12526964,-0.88245934,0.2049565,-0.0071037933,0.20072652,0.34810942,0.19741161,-0.24801572,0.16199428,-0.36033854
-0.5625023,0.11642128,-1.1128479,0.2392498,0.29857776,0.20749466,0.08619856,0.19724673,-0.13744049,0.15275612,-0.40017232
1.6531779,0.17545755,1.5000266,0.2789576,1.9395863,0.20748004,1.7532399,0.21286894,1.8488308,0.17337133,2.352138
-1.1369342,0.12111898,-1.0267831,0.23941578,-1.2429304,0.21087891,-1.3724973,0.16431469,-1.2606888,0.14965001,-1.2578968
-0.9158153,0.23376355,0.67564887,0.38143334,-0.47752035,0.2604384,-0.69085777,0.37869307,-0.0026204363,0.2840455,-0.36489552
-0.34259155,0.10385695,-0.17471828,0.22801979,-1.224215,0.16547851,-0.7205845,0.17023218,-0.8677954,0.12911013,-0.91197145
-0.82538086,0.13040763,-0.7201775,0.2511619,-0.80723107,0.21649227,-0.8759937,0.18735756,-0.59210217,0.15422107,-0.79328775
-0.63655555,0.1206983,-1.7793032,0.23941578,-0.9959987,0.21242826,-0.9326378,0.19275433,-0.855664,0.15375265,-1.0701169
0.61374456,0.18839844,-0.25003213,0.29205847,0.4731323,0.2038281,0.67708623,0.20953515,0.23420884,0.19717452,0.06059717
0.4272741,0.20864525,1.109437,0.3607753,-0.21345809,0.32366833,-0.68484,0.22613779,0.29826695,0.20946522,0.30837378
1.0005459399999999,0.49264838,0.67527515,0.27612472,0.263139,0.43363854,0.13268751,0.48657343,1.0954645,0.5122708,1.2233114
-0.037026647,0.23386495,0.38996002,0.33064833,-0.47316393,0.41016325,-0.72701466,0.29726565,0.06838835,0.26750633,0.29008687
-0.16181028,0.13158926,1.3117528,0.19816442,2.230876,0.2195927,2.255347,0.19723935,1.8070003,0.156173,2.0908442
0.9021849,0.13368285,0.63158125,0.24153912,0.6891029,0.20989187,0.95183796,0.17814942,0.7220686,0.13652351,0.22664802
1.2022033,0.23617366,0.7902755,0.32008725,0.83202916,0.34525383,0.3475695,0.25436774,0.85293883,0.21091372,1.2867397
0.121899016,0.12699485,-0.7298516,0.2392498,0.138943,0.20728236,0.36822805,0.19724673,-0.5429322,0.1494453,-0.34145737
-0.9513361,0.20880984,-0.3246237,0.3739123,-0.6000683,0.17390372,-1.4235104,0.3117465,-0.9403389,0.2124291,-0.48060676
0.4884287,0.12154979,-0.032099333,0.20298342,-0.28824764,0.16634594,-0.0906599,0.1615781,0.13880678,0.1420844,-0.18614149
-0.83088636,0.21136402,-0.31310296,0.4362975,-0.7647284,0.29585695,-0.6691956,0.33802933,-0.93951005,0.281025,-0.6283738
